Ticker,Date,Return,Event
XLB,2021-09-14,-0.011,Event 1
XLE,2021-09-14,-0.014,Event 1
XLF,2021-09-14,-0.0134,Event 1
XLI,2021-09-14,-0.012,Event 1
XLK,2021-09-14,-0.001,Event 1
XLP,2021-09-14,-0.004579458,Event 1
XLRE,2021-09-14,-0.0021,Event 1
XLU,2021-09-14,-0.0034,Event 1
XLV,2021-09-14,-0.0002,Event 1
XLY,2021-09-14,-0.0033,Event 1
XLC,2021-09-14,-0.0086,Event 1
XLB,2021-09-15,0.011,Event 1
XLE,2021-09-15,0.037,Event 1
XLF,2021-09-15,0.0096,Event 1
XLI,2021-09-15,0.011,Event 1
XLK,2021-09-15,0.009,Event 1
XLP,2021-09-15,0.003624729,Event 1
XLRE,2021-09-15,0.0038,Event 1
XLU,2021-09-15,-0.0013,Event 1
XLV,2021-09-15,0.0065,Event 1
XLY,2021-09-15,0.0065,Event 1
XLC,2021-09-15,0.0049,Event 1
XLB,2021-09-16,-0.011,Event 1
XLE,2021-09-16,-0.011,Event 1
XLF,2021-09-16,-0.0029,Event 1
XLI,2021-09-16,-0.0069,Event 1
XLK,2021-09-16,0.001,Event 1
XLP,2021-09-16,-0.003333809,Event 1
XLRE,2021-09-16,0.0019,Event 1
XLU,2021-09-16,-0.0084,Event 1
XLV,2021-09-16,-0.0026,Event 1
XLY,2021-09-16,0.0046,Event 1
XLC,2021-09-16,-0.001,Event 1
XLB,2021-09-17,-0.021,Event 1
XLE,2021-09-17,-0.007,Event 1
XLF,2021-09-17,-0.0045,Event 1
XLI,2021-09-17,-0.0106,Event 1
XLK,2021-09-17,-0.016,Event 1
XLP,2021-09-17,-0.005435506,Event 1
XLRE,2021-09-17,-0.0091,Event 1
XLU,2021-09-17,-0.0154,Event 1
XLV,2021-09-17,0.001,Event 1
XLY,2021-09-17,-0.0035,Event 1
XLC,2021-09-17,-0.0111,Event 1
XLB,2021-09-20,-0.019,Event 1
XLE,2021-09-20,-0.031,Event 1
