Ticker,Metric,Return_mean_corr,Return_std_corr,SentimentScore_corr
XLB,Return_mean,1.0,-0.2501304428045868,-0.4115109385029566
XLB,Return_std,-0.2501304428045868,1.0,-0.16099005266136118
XLB,SentimentScore,-0.4115109385029566,-0.16099005266136118,1.0
XLC,Return_mean,1.0,-0.32331149384475427,-0.033342518510947966
XLC,Return_std,-0.32331149384475427,1.0,-0.16866089643057922
XLC,SentimentScore,-0.033342518510947966,-0.16866089643057922,1.0
XLE,Return_mean,1.0,-0.015575821739378885,-0.4519103141905475
XLE,Return_std,-0.015575821739378885,1.0,-0.39241642697030643
XLE,SentimentScore,-0.4519103141905475,-0.39241642697030643,1.0
XLF,Return_mean,1.0,-0.17252814538898947,0.09947966801640856
XLF,Return_std,-0.17252814538898947,1.0,-0.18427854940606206
XLF,SentimentScore,0.09947966801640856,-0.18427854940606206,1.0
XLI,Return_mean,1.0,0.21116013872780826,0.5176004262059892
XLI,Return_std,0.21116013872780826,1.0,-0.06774865398176384
XLI,SentimentScore,0.5176004262059892,-0.06774865398176384,1.0
XLK,Return_mean,1.0,0.24957476535092965,0.014030848028971398
XLK,Return_std,0.24957476535092965,1.0,-0.11396790171170845
XLK,SentimentScore,0.014030848028971398,-0.11396790171170845,1.0
XLP,Return_mean,1.0,-0.24517573540270315,-0.09891554371317451
XLP,Return_std,-0.24517573540270315,1.0,0.12035918616775858
XLP,SentimentScore,-0.09891554371317451,0.12035918616775858,1.0
XLRE,Return_mean,1.0,0.1919156410679594,0.6219111032277226
XLRE,Return_std,0.1919156410679594,1.0,0.4191583361570015
XLRE,SentimentScore,0.6219111032277226,0.4191583361570015,1.0
XLU,Return_mean,1.0,0.443714340485742,-0.5769907373339502
XLU,Return_std,0.443714340485742,1.0,0.273541103379179
XLU,SentimentScore,-0.5769907373339502,0.273541103379179,1.0
XLV,Return_mean,1.0,-0.4511399015268603,-0.23153224595313274
XLV,Return_std,-0.4511399015268603,1.0,0.07509402212786472
XLV,SentimentScore,-0.23153224595313274,0.07509402212786472,1.0
XLY,Return_mean,1.0,0.07275587827942478,0.043473330336649095
XLY,Return_std,0.07275587827942478,1.0,-0.019664586911434568
XLY,SentimentScore,0.043473330336649095,-0.019664586911434568,1.0
